id_producto,nombre_producto,categoria,marca,color,talla,precio,stock,fecha_ingreso
1001,Polera Básica,Hombre,UrbanWear,Negro,M,9990,25,2025-01-15
1002,Polera basica,Hombre,Urban Wear,negro,M,9990,25,15/01/2025
1003,Jeans Slim,Hombre,DenimPro,Azul,42,29990,10,2025-02-01
1004,Jeans slim,Hombre,Denim Pro,azul,42,29990,10,01-02-2025
1005,Chaqueta Invierno,Mujer,FashionCo,Beige,S,49990,5,2025-03-10
1006,Chaqueta Invierno,Mujer,FashionCo,Beige,S,49990,,2025-03-10
1007,Vestido Floral,Mujer,StyleArt,Rosado,M,35990,8,2025/04/05
1008,Vestido Floral,Mujer,StyleArt,Rosado,M,35990,8,2025/04/05
1009,Zapatillas Urbanas,Calzado,StreetRun,Blanco,38,44990,12,2025-05-12
1010,Zapatillas Urbanas,Calzado,Street Run,BLANCO,38,44990,-2,2025-05-12
1011,Polerón Oversize,Unisex,UrbanWear,Gris,L,24990,18,2025-06-01
1012,Poleron Oversize,Unisex,UrbanWear,gris,L,24990,18,01/06/2025
1013,Falda Plisada,Mujer,Elegance,Negro,S,27990,7,2025-04-20
1014,Falda Plisada,Mujer,Elegance,Negro,S,27990,70,2025-13-20
1015,Camisa Formal,Hombre,ClassicFit,Blanco,M,19990,15,2025-03-01
1016,Camisa Formal,Hombre,ClassicFit,Blanco,M,19990,15,2025-03-01
1017,Short Deportivo,Hombre,SportFlex,Azul,L,14990,20,
1018,Top Deportivo,Mujer,SportFlex,Negro,S,12990,abc,2025-02-18
1019,Blazer Ejecutivo,Mujer,Elegance,Negro,M,59990,4,2025-05-01
1020,Blazer Ejecutivo,Mujer,Elegance,Negro,M,59990,4,2025-05-01
